1630698550081125632,0.00055,-0.00209,0.02229,0.99998,0.00552,0.00238,0.00028,-0.00038,0.00475,-0.00679,
1630698550147794944,0.00050,-0.00210,0.02230,0.99998,0.00670,0.00180,0.00030,0.00044,-0.00129,-0.00616,
1630698550214465280,0.00133,-0.00220,0.02109,0.99997,0.00814,0.00133,0.00023,0.00281,0.00141,-0.00520,
1630698550281134848,0.00123,-0.00215,0.02102,0.99996,0.00939,0.00054,0.00028,0.00242,0.00068,-0.00443,
1630698550347804928,0.00113,-0.00236,0.02099,0.99994,0.01080,-0.00027,0.00029,0.00239,-0.00066,-0.00429,
1630698550414474240,0.00109,-0.00238,0.02102,0.99993,0.01211,-0.00112,0.00033,0.00152,0.00144,-0.00383,
1630698550481144320,0.00103,-0.00243,0.02113,0.99991,0.01343,-0.00193,0.00034,0.00134,-0.00086,-0.00359,
1630698550547813888,0.00089,-0.00250,0.02115,0.99989,0.01480,-0.00277,0.00035,0.00098,0.00069,-0.00353,
1630698550614484224,0.00083,-0.00253,0.02107,0.99986,0.01615,-0.00368,0.00040,0.00126,-0.00026,-0.00322,
1630698550681153536,0.00083,-0.00260,0.02108,0.99984,0.01752,-0.00461,0.00039,0.00120,0.00020,-0.00325,
1630698550747823616,0.00081,-0.00263,0.02101,0.99981,0.01886,-0.00558,0.00044,0.00077,0.00073,-0.00299,
1630698550814494208,0.00075,-0.00266,0.02101,0.99977,0.02023,-0.00654,0.00046,0.00064,0.00026,-0.00316,
1630698550881163776,0.00066,-0.00273,0.02102,0.99974,0.02158,-0.00757,0.00050,0.00063,0.00065,-0.00319,
1630698550947834368,0.00049,-0.00284,0.02106,0.99970,0.02294,-0.00863,0.00056,0.00010,0.00016,-0.00293,
1630698551014504192,0.00047,-0.00292,0.02099,0.99966,0.02426,-0.00972,0.00060,0.00034,0.00055,-0.00306,
1630698551081174784,0.00047,-0.00292,0.02099,0.99961,0.02556,-0.01081,0.00064,0.00062,0.00094,-0.00323,
1630698551147844608,0.00035,-0.00302,0.02093,0.99957,0.02689,-0.01197,0.00071,0.00076,0.00098,-0.00303,
1630698551214515200,0.00015,-0.00317,0.02110,0.99952,0.02820,-0.01316,0.00077,0.00050,0.00077,-0.00283,
1630698551281185024,0.00007,-0.00324,0.02116,0.99946,0.02948,-0.01435,0.00083,0.00032,0.00094,-0.00278,
1630698551347855616,0.00009,-0.00327,0.02109,0.99941,0.03066,-0.01518,0.00091,-0.00020,0.00322,0.00285,
1630698551414524928,-0.00013,-0.00289,0.02428,0.99943,0.02882,-0.01776,0.00108,-0.00475,0.00313,0.06293,
